Movie_Id,title,year,genre,rating,count
192,To Be or Not to Be,1942,Comedy,8.2,38000
193,Да прольётся свет,2021,Crime,8.9,201000
194,Гроздья гнева,1940,Drama,8.1,94000
195,Мой отец и мой сын,2005,Drama,8.2,87000
196,Ненависть,1995,Crime,8.1,174000
197,Сука любовь,2000,Drama,8.1,241000
198,Ребекка,1940,Drama,8.1,138000
199,Всё везде и сразу,2022,Action,8.1,241000
200,Хладнокровный Люк,1967,Crime,8.1,178000
201,Четыреста ударов,1959,Crime,8.1,119000
202,Служанка,2016,Drama,8.1,148000
203,Звуки музыки,1965,Biography,8.1,235000
204,Персона,1966,Drama,8.1,119000
205,Дерсу Узала,1975,Adventure,8.2,30000
206,Аладдин,1992,Animation,8.0,420000
207,Прислуга,2011,Drama,8.1,460000
208,Стальной гигант,1999,Animation,8.1,199000
209,Ганди,1982,Biography,8.1,232000
